price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
14235970,7,2,кирпичный ,1-комнатные ,39,-,900,3614,-12177,735,659,334,3862
14857500,14,11,монолитный ,1-комнатные ,52.5,1 кв. 2021 года ,900,6298,-10970,486,830,577,5847
13920000,14,12,монолитный ,1-комнатные ,46.4,1 кв. 2021 года ,800,6249,-10979,544,786,597,5796
44677500,8,2,монолитный ,1-комнатные ,60,сдан ,1400,6870,-7799,1119,1023,2403,3970
340497000,8,8,монолитный ,1-комнатные ,254,сдан ,1400,6870,-7799,1119,1023,2403,3970
5300000,15,12,панельный ,1-комнатные ,38,-,2406,25090,5537,1003,325,1465,3902
4098280,9,1,монолитный ,1-комнатные ,47.1,сдан ,7155,37248,21914,6189,3320,5308,20105
4195000,9,3,монолитный ,1-комнатные ,46.5,сдан ,6999,37141,21795,6151,3129,5117,20001
3785200,9,3,монолитный ,1-комнатные ,42.9,сдан ,7093,37051,21712,6036,3185,5171,19909
3874350,9,4,монолитный ,1-комнатные ,42.7,сдан ,6933,37341,21991,6354,3146,5135,20201
4102000,9,6,монолитный ,1-комнатные ,46.5,сдан ,7093,37051,21712,6036,3185,5171,19909
4186000,9,3,монолитный ,1-комнатные ,46.4,сдан ,6933,37341,21991,6354,3146,5135,20201
49215000,12,8,монолитный ,1-комнатные ,66,сдан ,1400,6870,-7799,1119,1023,2403,3970
6858914,17,2,монолитный ,1-комнатные ,44.5,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6537665,39,20,монолитный ,1-комнатные ,26.6,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
9050000,36,23,монолитный ,1-комнатные ,42.7,сдан ,800,12141,-5528,1031,982,1299,8240
6630000,24,14,монолитный ,1-комнатные ,35.1,2 кв. 2021 года ,100,12094,-5648,1223,820,1186,3968
6100000,11,8,панельный ,1-комнатные ,37.6,сдан ,1500,19856,1680,1119,2540,1366,13065
6250000,25,5,монолитный ,1-комнатные ,40.8,3 кв. 2021 года ,437,12283,-5411,1039,816,1236,4028
8400000,31,23,монолитный ,1-комнатные ,40.2,3 кв. 2022 года ,1100,8612,-6653,490,433,492,11046
8200000,22,4,монолитный ,1-комнатные ,54.5,4 кв. 2020 года ,1700,15154,2779,851,855,1070,3650
7500000,9,9,монолитный ,1-комнатные ,42.6,сдан ,1000,13280,-3905,1440,2180,4054,11240
6200000,15,2,монолитный ,1-комнатные ,38,2 кв. 2021 года ,2100,8952,-8312,1226,1294,1710,6879
41409200,5,4,монолитный ,1-комнатные ,45,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
60024000,5,2,монолитный ,1-комнатные ,75,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
442200000,1,1,монолитный ,1-комнатные ,551.1,2 кв. 2021 года ,400,2927,-13766,459,668,710,5817
12554402,28,2,монолитный ,1-комнатные ,43.3,2 кв. 2023 года ,1100,3782,-12495,1535,214,371,6554
30295500,5,5,монолитный ,1-комнатные ,31.9,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
30838800,5,5,монолитный ,1-комнатные ,33.2,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
45160800,5,5,монолитный ,1-комнатные ,48.6,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
12790116,28,24,монолитный ,1-комнатные ,41.4,2 кв. 2023 года ,1100,3782,-12495,1535,214,371,6554
53903000,5,5,монолитный ,1-комнатные ,56.7,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
6315136,23,14,монолитный ,1-комнатные ,36.9,4 кв. 2020 года ,700,20351,6092,2097,1178,3508,21837
100323000,5,4,монолитный ,1-комнатные ,111.5,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
26291100,5,5,монолитный ,1-комнатные ,28.3,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
8002700,33,16,монолитный ,1-комнатные ,39.5,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
4042600,3,1,монолитный ,1-комнатные ,42.9,сдан ,6606,38122,22749,7195,3236,5177,20989
4140800,3,1,монолитный ,1-комнатные ,44.9,сдан ,6606,38122,22749,7195,3236,5177,20989
9090900,33,30,монолитный ,1-комнатные ,34.6,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
5596300,22,10,монолитный ,1-комнатные ,34.7,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
37221600,5,2,монолитный ,1-комнатные ,47.7,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
6215005,14,2,монолитный ,1-комнатные ,40.1,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
6288868,16,2,монолитный ,1-комнатные ,42.1,1 кв. 2021 года ,2000,22245,3629,1003,1804,5098,4467
6378563,16,2,монолитный ,1-комнатные ,41.8,1 кв. 2021 года ,2100,22258,3632,1090,1884,5176,4404
5980000,22,12,монолитный ,1-комнатные ,25,4 кв. 2020 года ,1600,15008,2910,889,989,1209,3615
6130617,16,15,монолитный ,1-комнатные ,39.3,2 кв. 2021 года ,2300,22556,3908,1811,1660,4497,3782
